name,MolLogP_rdkit
Propionyl#K,0.822976639
Oxidation#M,-0.406669824
Carbamidomethyl#C,-1.13565842
Methyl#C,0.381024817
Methyl#E,-0.16203922
Methyl#N,-1.244854313
Methyl#K,0.416407467
Dimethyl#N,-0.791373313
Dimethyl#K,0.869888466
Dimethyl#R,-0.277370755
Dimethyl_symmetric#R,-0.663227163
Crotonyl#K,1.043091174
Succinyl#K,0.100481487
Acetyl#S,-0.678996958
Acetyl#K,0.306018901
Acetyl#C,0.270636251
Acetyl#T,-0.164159529
Trimethyl#R,-0.209746163
Trimethyl#K,1.061511355
Phospho#S,-1.280369482
Phospho#T,-0.765532052
Phospho#Y,0.846432553
Phospho#D,-1.390758048
Phospho#C,-0.330736272
Phospho#R,-1.442612844
Formyl(N-T)#M,0.616114032
Formyl#K,-0.210938837
Deamidated#R,-0.830864061
Deamidated#F,1.591323464
Deamidated#N,-0.796144008
Deamidated#Q,-0.27918627
Malonyl#K,-0.416476251
Nitro#Y,1.035007498
Biotin#K,1.241472547
Oxidation#P,-0.901099283
Methyl#R,-0.730851755
Butyryl#K,1.339934377
hydroxyisobutyryl#K,-0.023954123
Glutaryl#K,0.617439225
GG#K,-2.271481228
Dioxidation#C,-1.131417803
Sulfide#C,0.665941284
Carbamidomethyl#K,-1.100275771
Gly#K,-1.100275771
Acetyl(N-T)#A,0.161440359
Acetyl(N-T)#C,0.042040482
Acetyl(N-T)#D,-0.561054793
Acetyl(N-T)#E,-0.044097055
Acetyl(N-T)#F,1.781886198
Acetyl(N-T)#G,-0.35339707
Acetyl(N-T)#H,0.089747425
Acetyl(N-T)#I,1.52135328
Acetyl(N-T)#K,0.306018901
Acetyl(N-T)#L,1.52135328
Acetyl(N-T)#M,1.13307177
Acetyl(N-T)#N,-1.355242879
Acetyl(N-T)#P,0.805881651
Acetyl(N-T)#Q,-0.838285141
Acetyl(N-T)#R,-1.11909351
Acetyl(N-T)#S,-1.200327832
Acetyl(N-T)#T,-0.685490403
Acetyl(N-T)#V,1.004395543
Acetyl(N-T)#Y,1.391749418
Acetyl(N-T)#W,2.419701526
Cysteinyl#C,-0.37393756
HexNAc#S,-4.128208955
HexNAc#T,-3.613371526
Phenylisocyanate(N-T)#A,2.395185458
Phenylisocyanate(N-T)#C,2.27578558
Phenylisocyanate(N-T)#D,1.672690306
Phenylisocyanate(N-T)#E,2.189648044
Phenylisocyanate(N-T)#F,4.015631297
Phenylisocyanate(N-T)#G,1.880348029
Phenylisocyanate(N-T)#H,2.323492524
Phenylisocyanate(N-T)#I,3.755098379
Phenylisocyanate(N-T)#K,2.539764
Phenylisocyanate(N-T)#L,3.755098379
Phenylisocyanate(N-T)#M,3.366816869
Phenylisocyanate(N-T)#N,0.87850222
Phenylisocyanate(N-T)#P,3.03962675
Phenylisocyanate(N-T)#Q,1.395459958
Phenylisocyanate(N-T)#R,1.114651589
Phenylisocyanate(N-T)#S,1.033417266
Phenylisocyanate(N-T)#T,1.548254696
Phenylisocyanate(N-T)#V,3.238140641
Phenylisocyanate(N-T)#W,4.653446625
Phenylisocyanate(N-T)#Y,3.625494517
Trimethylacetyl(N-T)#A,1.52135328
Trimethylacetyl(N-T)#C,1.401953403
Trimethylacetyl(N-T)#D,0.798858129
Trimethylacetyl(N-T)#E,1.315815867
Trimethylacetyl(N-T)#F,3.14179912
Trimethylacetyl(N-T)#G,1.006515851
Trimethylacetyl(N-T)#H,1.449660346
Trimethylacetyl(N-T)#I,2.881266202
Trimethylacetyl(N-T)#K,1.665931822
Trimethylacetyl(N-T)#L,2.881266202
Trimethylacetyl(N-T)#M,2.492984692
Trimethylacetyl(N-T)#N,0.004670043
Trimethylacetyl(N-T)#P,2.165794572
Trimethylacetyl(N-T)#Q,0.521627781
Trimethylacetyl(N-T)#R,0.518672601
Trimethylacetyl(N-T)#S,0.159585089
Trimethylacetyl(N-T)#T,0.674422518
Trimethylacetyl(N-T)#V,2.364308464
Trimethylacetyl(N-T)#W,3.779614447
Trimethylacetyl(N-T)#Y,2.751662339
Trimethylacetyl#K,1.665931822
